,task_id,photo_id,photo_type,segment_num,segment_type,segment_value
64,634747d7_cedc_46df_89a8_4067233fae2d,1005891,УФ,0,Свечение,Отсутствует
65,657718ee_c957_4eef_8ca2_751c8f1ee592,1002069,УФ,0,Свечение,Отсутствует
66,66c52215_1903_4736_9674_087abbfe797b,1013275,УФ,0,Свечение,Отсутствует
67,67c3c5b6_08e7_43b6_ad69_e53f1dd70b63,1012381,УФ,0,Свечение,Отсутствует
68,67c3c5b6_08e7_43b6_ad69_e53f1dd70b63,1012381,УФ,1,Свечение,Насыщенное
69,69a214ef_91a5_424e_bf97_0b5fcb6a048f,1003673,УФ,0,Свечение,Насыщенное
70,6ab48bfc_a153_40c7_9f03_00f72b3e6c27,1010059,УФ,0,Свечение,Отсутствует
71,6b717dd7_77fd_417d_8f65_07c52f96927f,1004627,УФ,0,Свечение,Отсутствует
72,719cef53_e2ef_4ef6_a3f4_3fe01108c9a0,1012227,УФ,0,Свечение,Отсутствует
73,719cef53_e2ef_4ef6_a3f4_3fe01108c9a0,1012227,УФ,1,Свечение,Насыщенное
74,749c47cb_6837_4f16_80b8_16cae5e09888,1007833,УФ,0,Свечение,Отсутствует
75,767a91fa_d3a3_4b6c_90d4_2a061052d0f8,1009873,УФ,0,Свечение,Насыщенное
76,77c0cabc_4a0d_469f_88cd_8126b2cb91aa,1010411,УФ,0,Свечение,Отсутствует
77,77d00405_da52_4f10_acb8_3ce521337966,1002429,УФ,0,Свечение,Насыщенное
78,79566d18_c485_43ae_ac2c_30363e5fde78,1012253,УФ,0,Свечение,Карбонатное
79,79566d18_c485_43ae_ac2c_30363e5fde78,1012253,УФ,1,Свечение,Отсутствует
80,79566d18_c485_43ae_ac2c_30363e5fde78,1012253,УФ,2,Свечение,Карбонатное
81,7c94ece8_1ae7_4244_b5cd_66ff25a09e0d,1014889,УФ,0,Свечение,Отсутствует
82,7c94ece8_1ae7_4244_b5cd_66ff25a09e0d,1014889,УФ,1,Свечение,Карбонатное
83,7c94ece8_1ae7_4244_b5cd_66ff25a09e0d,1014889,УФ,2,Свечение,Отсутствует
84,7c94ece8_1ae7_4244_b5cd_66ff25a09e0d,1014889,УФ,3,Свечение,Карбонатное
85,7c94ece8_1ae7_4244_b5cd_66ff25a09e0d,1014889,УФ,4,Свечение,Отсутствует
86,7c94ece8_1ae7_4244_b5cd_66ff25a09e0d,1014889,УФ,5,Свечение,Отсутствует
87,8196ccd1_0697_49ce_88df_bb16cf3bd57a,1011625,УФ,0,Свечение,Отсутствует
88,88779480_df84_447d_880c_a6c55962e06e,1016627,УФ,0,Свечение,Карбонатное
89,88779480_df84_447d_880c_a6c55962e06e,1016627,УФ,1,Свечение,Насыщенное
90,891d929f_6842_40d4_96a0_bb8b5e478ee7,1014117,УФ,0,Свечение,Отсутствует
91,89328848_f5ee_4eed_ae44_41f2e7c31ac9,1004981,УФ,0,Свечение,Карбонатное
92,89328848_f5ee_4eed_ae44_41f2e7c31ac9,1004981,УФ,1,Свечение,Отсутствует
93,8e44c1ec_b93c_40d7_87a6_f4704052b738,1010281,УФ,0,Свечение,Отсутствует
94,8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,0,Свечение,Отсутствует
95,8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,1,Свечение,Насыщенное
96,8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,2,Свечение,Отсутствует
97,8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,3,Свечение,Насыщенное
98,8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,4,Свечение,Отсутствует
99,8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,5,Свечение,Насыщенное
100,8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,6,Свечение,Отсутствует
101,8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,7,Свечение,Насыщенное
102,8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,8,Свечение,Отсутствует
103,8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,9,Свечение,Насыщенное
104,98512e2a_c5f3_4d6a_b4c0_55619991bcfb,1008431,УФ,0,Свечение,Насыщенное
105,9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,0,Свечение,Отсутствует
106,9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,1,Свечение,Насыщенное
107,9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,2,Свечение,Отсутствует
108,9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,3,Свечение,Насыщенное
109,9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,4,Свечение,Отсутствует
110,9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,5,Свечение,Насыщенное
111,9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,6,Свечение,Отсутствует
112,9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,7,Свечение,Насыщенное
113,9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,8,Свечение,Отсутствует
114,987c49fe_77d6_4b0d_b04c_6970b4e32c9f,1008549,УФ,0,Свечение,Насыщенное
115,987c49fe_77d6_4b0d_b04c_6970b4e32c9f,1008549,УФ,1,Свечение,Отсутствует
116,987c49fe_77d6_4b0d_b04c_6970b4e32c9f,1008549,УФ,2,Свечение,Насыщенное
117,987c49fe_77d6_4b0d_b04c_6970b4e32c9f,1008549,УФ,3,Свечение,Насыщенное
118,987c49fe_77d6_4b0d_b04c_6970b4e32c9f,1008549,УФ,4,Свечение,Отсутствует
119,9be52432_7ffd_4b59_9a2d_05e723a79776,1000093,УФ,0,Свечение,Отсутствует
120,a1040ce4_028b_475a_8361_196c9ca89931,1005525,УФ,0,Свечение,Насыщенное
121,a422796d_2038_40d0_90a2_02c8967883da,1013107,УФ,0,Свечение,Насыщенное
122,a422796d_2038_40d0_90a2_02c8967883da,1013107,УФ,1,Свечение,Насыщенное
123,a422796d_2038_40d0_90a2_02c8967883da,1013107,УФ,2,Свечение,Насыщенное
124,a422796d_2038_40d0_90a2_02c8967883da,1013107,УФ,3,Свечение,Отсутствует
125,a422796d_2038_40d0_90a2_02c8967883da,1013107,УФ,4,Свечение,Насыщенное
126,a422796d_2038_40d0_90a2_02c8967883da,1013107,УФ,5,Свечение,Отсутствует
127,a4a1761c_d176_4175_8684_d1a027c6edae,1012017,УФ,0,Свечение,Насыщенное
128,a846f5f5_aa1a_44b7_8cc9_65dfa11b58c4,1012371,УФ,0,Свечение,Насыщенное
129,b149f785_be5a_4729_b9c5_4ff615e55966,1004799,УФ,0,Свечение,Насыщенное
130,b16fe80b_1472_43e7_a030_554c46e2dfb4,1010475,УФ,0,Свечение,Отсутствует
131,b297d035_f3e9_490d_b841_34cac9fbad8a,1007003,УФ,0,Свечение,Отсутствует
132,b5fe2fa9_c48d_4254_9469_97d90ae6b444,1007663,УФ,0,Свечение,Насыщенное
133,b5fe2fa9_c48d_4254_9469_97d90ae6b444,1007663,УФ,1,Свечение,Насыщенное
134,b5fe2fa9_c48d_4254_9469_97d90ae6b444,1007663,УФ,2,Свечение,Насыщенное
135,b5fe2fa9_c48d_4254_9469_97d90ae6b444,1007663,УФ,3,Свечение,Насыщенное
136,b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,0,Свечение,Отсутствует
137,b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,1,Свечение,Карбонатное
138,b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,2,Свечение,Отсутствует
139,b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,3,Свечение,Карбонатное
140,b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,4,Свечение,Насыщенное
141,b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,5,Свечение,Карбонатное
142,b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,6,Свечение,Отсутствует
143,babbe64f_ac1a_486f_9c14_0b8105ccd5e1,1013437,УФ,0,Свечение,Отсутствует
144,c013a33a_8fae_46b1_8dcb_01c753a8f90a,1000511,УФ,0,Свечение,Отсутствует
145,cabf37dc_bd72_47fb_8757_a2a883dfee59,1016689,УФ,0,Свечение,Карбонатное
146,cabf37dc_bd72_47fb_8757_a2a883dfee59,1016689,УФ,1,Свечение,Отсутствует
147,cabf37dc_bd72_47fb_8757_a2a883dfee59,1016689,УФ,2,Свечение,Карбонатное
148,cdaa3776_836f_481b_a974_4234bbe0a249,1015957,УФ,0,Свечение,Отсутствует
149,cf19af77_1f11_4398_bb90_d565e52af514,1010171,УФ,0,Свечение,Отсутствует
150,d26f70ac_32aa_4260_ad6b_27881fa3ecb5,1004703,УФ,0,Свечение,Насыщенное
151,dd88c23d_b2c4_4ae9_be74_ccec0bdb43ec,1009703,УФ,0,Свечение,Карбонатное
152,dd88c23d_b2c4_4ae9_be74_ccec0bdb43ec,1009703,УФ,1,Свечение,Отсутствует
153,dd88c23d_b2c4_4ae9_be74_ccec0bdb43ec,1009703,УФ,2,Свечение,Карбонатное
154,dd88c23d_b2c4_4ae9_be74_ccec0bdb43ec,1009703,УФ,3,Свечение,Карбонатное
155,dd88c23d_b2c4_4ae9_be74_ccec0bdb43ec,1009703,УФ,4,Свечение,Карбонатное
156,ea1b3bde_37ac_43a0_8c25_b101baa93c6f,1004387,УФ,0,Свечение,Насыщенное
157,ea1b3bde_37ac_43a0_8c25_b101baa93c6f,1004387,УФ,1,Свечение,Насыщенное
158,ea1b3bde_37ac_43a0_8c25_b101baa93c6f,1004387,УФ,2,Свечение,Насыщенное
159,ea1b3bde_37ac_43a0_8c25_b101baa93c6f,1004387,УФ,3,Свечение,Насыщенное
160,ea1b3bde_37ac_43a0_8c25_b101baa93c6f,1004387,УФ,4,Свечение,Насыщенное
161,ece4a00b_5f32_4509_9b1c_7139c71c7251,1007739,УФ,0,Свечение,Насыщенное
162,ef065e54_d47a_43c3_a1b0_4d2bcfdad3e4,1005081,УФ,0,Свечение,Отсутствует
163,f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,0,Свечение,Карбонатное
164,f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,1,Свечение,Отсутствует
165,f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,2,Свечение,Карбонатное
166,f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,3,Свечение,Отсутствует
167,f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,4,Свечение,Карбонатное
168,f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,5,Свечение,Карбонатное
169,f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,6,Свечение,Отсутствует
170,f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,7,Свечение,Карбонатное
171,f1a2db7a_d0d3_4995_b245_a7c9a6022838,1002571,УФ,0,Свечение,Насыщенное
172,f258a779_6a7a_44e9_94be_65dbf8568927,1002061,УФ,0,Свечение,Отсутствует
173,f841cde3_b194_4a85_8d62_ea796c67cc38,1007135,УФ,0,Свечение,Отсутствует
174,fc5a256b_d3b3_4ef9_a600_a8617e3c3144,1004467,УФ,0,Свечение,Насыщенное
175,fc5a256b_d3b3_4ef9_a600_a8617e3c3144,1004467,УФ,1,Свечение,Насыщенное
176,fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,0,Свечение,Насыщенное
177,fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,1,Свечение,Отсутствует
178,fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,2,Свечение,Насыщенное
179,fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,3,Свечение,Отсутствует
180,fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,4,Свечение,Насыщенное
181,fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,5,Свечение,Отсутствует
182,fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,6,Свечение,Насыщенное
183,fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,7,Свечение,Отсутствует
184,ffe878ff_27d1_4dfc_a2d1_91e13e71b662,1002685,УФ,0,Свечение,Отсутствует
185,00f15bc0_649c_453a_b150_8e94ab8f4247,1016705,УФ,0,Свечение,Карбонатное
186,0f50169c_1b00_4ea5_813c_c9df2ee045db,1003247,УФ,0,Свечение,Насыщенное
187,0f50169c_1b00_4ea5_813c_c9df2ee045db,1003247,УФ,1,Свечение,Насыщенное
188,0f50169c_1b00_4ea5_813c_c9df2ee045db,1003247,УФ,2,Свечение,Насыщенное
189,0f50169c_1b00_4ea5_813c_c9df2ee045db,1003247,УФ,3,Свечение,Отсутствует
190,10979880_b4cd_4005_9851_451f2f7ee8b9,1002025,УФ,0,Свечение,Насыщенное
191,10979880_b4cd_4005_9851_451f2f7ee8b9,1002025,УФ,1,Свечение,Отсутствует
192,110be108_5ebf_421a_9322_05f7217dc2b6,1009879,УФ,0,Свечение,Насыщенное
193,110be108_5ebf_421a_9322_05f7217dc2b6,1009879,УФ,1,Свечение,Отсутствует
194,110be108_5ebf_421a_9322_05f7217dc2b6,1009879,УФ,2,Свечение,Насыщенное
195,110be108_5ebf_421a_9322_05f7217dc2b6,1009879,УФ,3,Свечение,Отсутствует
196,125da0d3_8528_44ab_b85a_aa24f9692271,1000411,УФ,0,Свечение,Карбонатное
197,125da0d3_8528_44ab_b85a_aa24f9692271,1000411,УФ,1,Свечение,Насыщенное
198,125da0d3_8528_44ab_b85a_aa24f9692271,1000411,УФ,2,Свечение,Карбонатное
199,125da0d3_8528_44ab_b85a_aa24f9692271,1000411,УФ,3,Свечение,Насыщенное
200,17ba181c_971e_44eb_8633_f50c6f602cea,1005551,УФ,0,Свечение,Насыщенное
201,18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,0,Свечение,Отсутствует
202,18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,1,Свечение,Насыщенное
203,18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,2,Свечение,Отсутствует
204,18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,3,Свечение,Отсутствует
205,18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,4,Свечение,Насыщенное
206,18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,5,Свечение,Отсутствует
207,18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,6,Свечение,Насыщенное
208,36a9ee56_ace1_42e0_b4e3_6a5a0bdda734,1013805,УФ,0,Свечение,Отсутствует
209,36a9ee56_ace1_42e0_b4e3_6a5a0bdda734,1013805,УФ,1,Свечение,Насыщенное
210,36a9ee56_ace1_42e0_b4e3_6a5a0bdda734,1013805,УФ,2,Свечение,Отсутствует
211,3b3b7821_a499_45df_b972_12edc3df0061,1003351,УФ,0,Свечение,Отсутствует
212,3b3b7821_a499_45df_b972_12edc3df0061,1003351,УФ,1,Свечение,Насыщенное
213,3b3b7821_a499_45df_b972_12edc3df0061,1003351,УФ,2,Свечение,Отсутствует
214,3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,0,Свечение,Отсутствует
215,3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,1,Свечение,Насыщенное
216,3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,2,Свечение,Отсутствует
217,3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,3,Свечение,Насыщенное
218,3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,4,Свечение,Отсутствует
219,3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,5,Свечение,Насыщенное
220,3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,6,Свечение,Отсутствует
221,3cae8153_61ea_480c_9c1c_c20456c0b948,1008417,УФ,0,Свечение,Насыщенное
222,3d31eca9_d4e8_40f3_bbdf_eaa7c9846956,1013481,УФ,0,Свечение,Отсутствует
223,44617a1e_5659_4816_bca9_a66d29b1134a,1007723,УФ,0,Свечение,Насыщенное
224,44617a1e_5659_4816_bca9_a66d29b1134a,1007723,УФ,1,Свечение,Отсутствует
225,44617a1e_5659_4816_bca9_a66d29b1134a,1007723,УФ,2,Свечение,Насыщенное
226,44617a1e_5659_4816_bca9_a66d29b1134a,1007723,УФ,3,Свечение,Насыщенное
227,44617a1e_5659_4816_bca9_a66d29b1134a,1007723,УФ,4,Свечение,Насыщенное
228,47e2361a_775a_46e8_b22b_eda373d92871,1001631,УФ,0,Свечение,Отсутствует
229,4a34a3d7_b24f_418a_bb90_dc3e9640926f,1015925,УФ,0,Свечение,Отсутствует
230,52b65ce8_6282_43e2_af43_a85f871352cb,1013135,УФ,0,Свечение,Насыщенное
231,52b65ce8_6282_43e2_af43_a85f871352cb,1013135,УФ,1,Свечение,Отсутствует
232,52b65ce8_6282_43e2_af43_a85f871352cb,1013135,УФ,2,Свечение,Насыщенное
233,52b65ce8_6282_43e2_af43_a85f871352cb,1013135,УФ,3,Свечение,Отсутствует
234,58e310b2_fc5a_41ba_afb0_a6d99fecb299,1006175,УФ,0,Свечение,Насыщенное
235,5e7241eb_669a_40cf_80d1_3944ecb54cd6,1014627,УФ,0,Свечение,Отсутствует
236,6253ff95_0d10_49ea_be76_1714617f85c4,1004443,УФ,0,Свечение,Насыщенное
237,6253ff95_0d10_49ea_be76_1714617f85c4,1004443,УФ,1,Свечение,Отсутствует
238,6253ff95_0d10_49ea_be76_1714617f85c4,1004443,УФ,2,Свечение,Отсутствует
239,64dd13dc_4fa4_4470_a7e2_ea3848f86f5e,1003827,УФ,0,Свечение,Насыщенное
240,64dd13dc_4fa4_4470_a7e2_ea3848f86f5e,1003827,УФ,1,Свечение,Отсутствует
241,66c5f6f3_68f3_4ecd_962d_d5bcbe56d654,1011909,УФ,0,Свечение,Отсутствует
242,67f80c9a_85fa_4135_a154_c2d602f1c6a5,1013773,УФ,0,Свечение,Отсутствует
243,715733d0_696e_4614_a050_595e0f4cdb6c,1010493,УФ,0,Свечение,Отсутствует
244,77c66b0f_f3b5_4fb0_92df_ce979c95dc85,1011547,УФ,0,Свечение,Отсутствует
245,78120d32_e1e4_4069_a74f_8b1d3ee6720c,1003427,УФ,0,Свечение,Насыщенное
246,7873aca1_599c_4d2f_88b6_8844d72f5116,1015203,УФ,0,Свечение,Карбонатное
247,841ad9d8_3205_4abb_9cc9_0f31a6c15113,1005845,УФ,0,Свечение,Насыщенное
248,841ad9d8_3205_4abb_9cc9_0f31a6c15113,1005845,УФ,1,Свечение,Насыщенное
249,841ad9d8_3205_4abb_9cc9_0f31a6c15113,1005845,УФ,2,Свечение,Насыщенное
250,841ad9d8_3205_4abb_9cc9_0f31a6c15113,1005845,УФ,3,Свечение,Насыщенное
251,841ad9d8_3205_4abb_9cc9_0f31a6c15113,1005845,УФ,4,Свечение,Отсутствует
252,841ad9d8_3205_4abb_9cc9_0f31a6c15113,1005845,УФ,5,Свечение,Насыщенное
253,857b82fc_b32b_4481_a48b_fb569d63a37f,1013759,УФ,0,Свечение,Отсутствует
254,87640e7d_d0fe_429e_a920_f74b73ef048f,1001111,УФ,0,Свечение,Насыщенное
255,885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,0,Свечение,Отсутствует
256,885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,1,Свечение,Насыщенное
257,885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,2,Свечение,Отсутствует
258,885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,3,Свечение,Насыщенное
259,885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,4,Свечение,Отсутствует
260,885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,5,Свечение,Насыщенное
261,885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,6,Свечение,Отсутствует
262,885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,7,Свечение,Насыщенное
263,885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,8,Свечение,Отсутствует
264,885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,9,Свечение,Насыщенное
265,885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,10,Свечение,Отсутствует
266,8b48b9d7_2fcf_4153_ac33_c8496bc58ef9,1013049,УФ,0,Свечение,Насыщенное
267,8b48b9d7_2fcf_4153_ac33_c8496bc58ef9,1013049,УФ,1,Свечение,Насыщенное
268,8bc9735a_1f56_4b21_9dcd_8c6f6ae7c9c8,1014951,УФ,0,Свечение,Карбонатное
269,8bc9735a_1f56_4b21_9dcd_8c6f6ae7c9c8,1014951,УФ,1,Свечение,Отсутствует
270,8bc9735a_1f56_4b21_9dcd_8c6f6ae7c9c8,1014951,УФ,2,Свечение,Отсутствует
271,8bc9735a_1f56_4b21_9dcd_8c6f6ae7c9c8,1014951,УФ,3,Свечение,Карбонатное
